project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
,,"Fano interference in Si, Ge  Dr. Vivek KumarAssistant Professor and GeSi nanocrystals/nanowires: manifestation of doping effect and its prospect in the nanostructure based solar cells  ","Fano interference in Si, Ge  Dr. Vivek KumarAssistant Professor and GeSi nanocrystals/nanowires: manifestation of doping effect and its prospect in the nanostructure based solar cells  ",,,,, National Institute of Technology Dr. Vladimir Alekseevich,,,,,,,,,,,,,,,,,
,,Investigation of the crowbarring ef fect of current pulse in electromagnetic  forming for aluminum alloys  ,Investigation of the crowbarring ef fect of current pulse in electromagnetic  forming for aluminum alloys  ,,,,, Dr. Sachin D. Kore Dr. Anatoliy Kharlov,,,,,,,,,,,,,,,,,
,,"An investigation of operators on ordered banach spaces, algebras and modules  ","An investigation of operators on ordered banach spaces, algebras and modules  ",,,,," Anil kumar karn                      Associate Marat Pliev, Senior Reseacher,",,,,,,,,,,,,,,,,,
,,Designing Digital Eco- System of Smart Services for Precise Agriculture  ,Designing Digital Eco- System of Smart Services for Precise Agriculture  ,,,,, Dr. Animesh Dutta Dr.Petr Skobelev,,,,,,,,,,,,,,,,,
,,"Synthesis and study of properties of electrochemically  active composites  based  on lithium intercalated silicates of iron, manganese,  cobalt  and having  high  electron conductivity carbo- silicides of transition metals  ","Synthesis and study of properties of electrochemically  active composites  based  on lithium intercalated silicates of iron, manganese,  cobalt  and having  high  electron conductivity carbo- silicides of transition metals  ",,,,, Ambesh Dixit Aleksandr Ivanishchev,,,,,,,,,,,,,,,,,
,,Intermediate Luminosity Optical Transients and Peculiar Supernovae (ILOTs and Peculiar SNe)  ,Intermediate Luminosity Optical Transients and Peculiar Supernovae (ILOTs and Peculiar SNe)  ,,,,, Dr. Kuntal Misra Dr. Elena A. Barsukova,,,,,,,,,,,,,,,,,
,,Design and  development of dengue virus and tick- borne encephalitis virus reproduction inhibitors .  ,Design and  development of dengue virus and tick- borne encephalitis virus reproduction inhibitors .  ,,,,, Dr Aakarsh Saxena Dr Vladimir Palyulin,,,,,,,,,,,,,,,,,
,,The  Development  and Study  of Resonant Tunneling AlGaAs and GaAsBi based Quantum Well Heterostructures for Improvement of Efficiency in Photovoltaic Solar Cells  ,The  Development  and Study  of Resonant Tunneling AlGaAs and GaAsBi based Quantum Well Heterostructures for Improvement of Efficiency in Photovoltaic Solar Cells  ,,,,, Dr. Santosh SridharMysore Associate Prof. Yury Mityagin,,,,,,,,,,,,,,,,,
,,Role of TRIM-28 in molecular adaptation of cancer cells to upregulation of HIF1- alpha  ,Role of TRIM-28 in molecular adaptation of cancer cells to upregulation of HIF1- alpha  ,,,,," Bramanandam Manavathi,        Ph.D Egor Prokhortchouk,",,,,,,,,,,,,,,,,,
,,A Mechanistic Model for Inhibition and Disaggregation of Amyloid Fibrils Using Synthetic and Natural Compound  ,A Mechanistic Model for Inhibition and Disaggregation of Amyloid Fibrils Using Synthetic and Natural Compound  ,,,,, Dr Basir Ahmad Prof. Vladimir Imuronets Belozersky,,,,,,,,,,,,,,,,,
,,Plasmonic structures with broken time and space inversion symmetries  ,Plasmonic structures with broken time and space inversion symmetries  ,,,,," Venu Gopal Achanta,               Associate Proff. Vladimir I. Belotelov,",,,,,,,,,,,,,,,,,
,,"Fundamentals of engineering sciences, physics and astronomy, chemistry, earth sciences  ","Fundamentals of engineering sciences, physics and astronomy, chemistry, earth sciences  ",,,,," Prashant Bakshe, Dr. I. N. Melnikova,",,,,,,,,,,,,,,,,,
,,Development  of metallopolymer nanocomposites for gas sensing applications ”  ,Development  of metallopolymer nanocomposites for gas sensing applications ”  ,,,,, Prof. Poonam Tandon Dr.Sci.Gulzhian I. Dzhardimalieva,,,,,,,,,,,,,,,,,
,,Establishment of the pipeline enabling gene-to- system predictions for chickpea crop  ,Establishment of the pipeline enabling gene-to- system predictions for chickpea crop  ,,,,," Jana Kholová, PhD Konstantin Kozlov,",,,,,,,,,,,,,,,,,
,,Investigation of bile flow aspects to improve surgical treatment of the gallbladder disease on the basis of full biliary system model development  ,Investigation of bile flow aspects to improve surgical treatment of the gallbladder disease on the basis of full biliary system model development  ,,,,," S P Singh, PhD, Professor, Department Alex Kuchumov,",,,,,,,,,,,,,,,,,
,,"APPLICATION  OF MULTIPLE-ISOTOPE, AND CHEMICAL  TRACER TECHNIQUES  FOR GEOCHEMICAL  STUDIES OF  URANIUM- CONTAINING GROUNDWATER  FROM PUNJAB (INDIA) AND SUB-ARCTIC RUSSIAN REGIONS: IMPLICATIONS TO THE ORIGIN  ","APPLICATION  OF MULTIPLE-ISOTOPE, AND CHEMICAL  TRACER TECHNIQUES  FOR GEOCHEMICAL  STUDIES OF  URANIUM- CONTAINING GROUNDWATER  FROM PUNJAB (INDIA) AND SUB-ARCTIC RUSSIAN REGIONS: IMPLICATIONS TO THE ORIGIN  ",,,,, Dr. Anirban Das Dr. Alexander Malov,,,,,,,,,,,,,,,,,
,,Development of Novel Hybrid Materials Based on MOFs and Encapsulated Au/Ag Nanoparticles for Catalytic Conversion of Acetylenic Molecules and Sensing Application  ,Development of Novel Hybrid Materials Based on MOFs and Encapsulated Au/Ag Nanoparticles for Catalytic Conversion of Acetylenic Molecules and Sensing Application  ,,,,, Dr. Kamal Kumar Bisht Prof. Vera Isaeva,,,,,,,,,,,,,,,,,
,,Development of propagator methods for simulation of radiation damage to genetic materials  ,Development of propagator methods for simulation of radiation damage to genetic materials  ,,,,, Prof. Achintya Kumar Dutta Alexander Borisovitch Trofimov,,,,,,,,,,,,,,,,,
,,Regeneration mechanisms of deep-layer skin wounds in response to treatment with polyelectrolyte- hydrogel complex dressing and gene therapy  ,Regeneration mechanisms of deep-layer skin wounds in response to treatment with polyelectrolyte- hydrogel complex dressing and gene therapy  ,,,,, Dr. Arindam Bit Dr. Ilnur I. Salafutdinov,,,,,,,,,,,,,,,,,
,,Solar cell efficiency enhancement using optimized dual  mode luminescent  particles  as well as their applications in displays  ,Solar cell efficiency enhancement using optimized dual  mode luminescent  particles  as well as their applications in displays  ,,,,, Dr. S. K. Sharma Prof. Konstantin K.,,,,,,,,,,,,,,,,,
,,An Approach to high efficiency dye sensitized solar cells with improved stability  ,An Approach to high efficiency dye sensitized solar cells with improved stability  ,,,,, Dr. M. S. Dhaka Dr. A. Revina,,,,,,,,,,,,,,,,,
,,"Bioremediation of soil Contaminated with Heavy metals, Oil and oil products  ","Bioremediation of soil Contaminated with Heavy metals, Oil and oil products  ",,,,," Dr. A. Sundaramanickam, Assistant Dr. Chachina Svetlana Borisovna,",,,,,,,,,,,,,,,,,
,,Use of high-effective piezoelectrics for energy- harvesting applications including power from the rotating disc  ,Use of high-effective piezoelectrics for energy- harvesting applications including power from the rotating disc  ,,,,," Vijay Kumar Gupta Ivan A. Parinov, DrSc.",,,,,,,,,,,,,,,,,
,,Understanding the plant - microbe interactions of selected resurrection plants of India and Russia  ,Understanding the plant - microbe interactions of selected resurrection plants of India and Russia  ,,,,," Prof. Satyawati Sharma (PI), CRDT, IIT Professor  Vladimir  Chebotar,",,,,,,,,,,,,,,,,,
,,Diastolic  dysfunction  of myocardium  in  ischemic and diabetic damage: role of calcium handling protein and extracellular matrix  ,Diastolic  dysfunction  of myocardium  in  ischemic and diabetic damage: role of calcium handling protein and extracellular matrix  ,,,,," Dr. Samrat Chatterjee,                      PhD Dr. Dina Kondratieva,",,,,,,,,,,,,,,,,,
,,Inflation and Late Time Acceleration of the Universe and its Observational Signatures.  ,Inflation and Late Time Acceleration of the Universe and its Observational Signatures.  ,,,,, Prof. M. Sami Center For Theoretical Prof. Alexander Kamenshchik,,,,,,,,,,,,,,,,,
,,Development  of  novel mathematical  methods of  investigation  of biomedical   signals based on the wave packet time- frequency analysis and creation   of   software for revealing features of Parkinson’s and essential tremor neurodegenerative diseases.  ,Development  of  novel mathematical  methods of  investigation  of biomedical   signals based on the wave packet time- frequency analysis and creation   of   software for revealing features of Parkinson’s and essential tremor neurodegenerative diseases.  ,,,,, Dr. Sandip Bag Dr. Olga S. Sushkova,,,,,,,,,,,,,,,,,
,,Study  of  the cyanobacterial  diversity and  nitrogen fixation activity  of  biological  soil crusts  from  the  climatic gradient  of Eurasian arid zones  ,Study  of  the cyanobacterial  diversity and  nitrogen fixation activity  of  biological  soil crusts  from  the  climatic gradient  of Eurasian arid zones  ,,,,, Prof. Shanthy Sundaram Professor and Dr.Olga S. Samylina,,,,,,,,,,,,,,,,,
,,“Optimization of Heusler based Nano-composite Materials for Thermoelectric Energy Conversion”  ,“Optimization of Heusler based Nano-composite Materials for Thermoelectric Energy Conversion”  ,,,,, Prof. Satyabrata Patnaik Prof. Vladimir V. Khovaylo,,,,,,,,,,,,,,,,,
,,MEMBRANE PROCESSES FOR CO2 RECOVERY AND ITS UTILIZATION  ,MEMBRANE PROCESSES FOR CO2 RECOVERY AND ITS UTILIZATION  ,,,,," Dr.KANDASAMY PALANIVELU,Centre Dr.DARIA ALEKSANDROVNA",,,,,,,,,,,,,,,,,
,,Directed  functionalization of oxide and  carbon nanomaterials for the development of efficient catalysts for carbon dioxide conversion into value-added products  ,Directed  functionalization of oxide and  carbon nanomaterials for the development of efficient catalysts for carbon dioxide conversion into value-added products  ,,,,, Dr. Pankaj Bharali Dr. Mikhail A. Kerzhentsev,,,,,,,,,,,,,,,,,
,,An adaptive security System for optimum inter- domain Virtual Machines (VM)migration management in dynamic cloud environment  ,An adaptive security System for optimum inter- domain Virtual Machines (VM)migration management in dynamic cloud environment  ,,,,," Dr. Maninder Singh PhD Ivan Perl,",,,,,,,,,,,,,,,,,
,,Computer  genomics  of regulatory  single nucleotide polymorphisms  in neurodegenerative diseases based on metabolic pathways models and sequencing data in Asia  ,Computer  genomics  of regulatory  single nucleotide polymorphisms  in neurodegenerative diseases based on metabolic pathways models and sequencing data in Asia  ,,,,," Dr.P.Shanmughavel, Yuriy L. Orlov",,,,,,,,,,,,,,,,,
,,Neuroprotection by intra- arterial mesenchymal stem cells in ischemic stroke: Implication on neuron-glia interaction  ,Neuroprotection by intra- arterial mesenchymal stem cells in ischemic stroke: Implication on neuron-glia interaction  ,,,,, Dr. Pallab Bhattacharya         Assistant Dr.Alexey V.Semyanov,,,,,,,,,,,,,,,,,
,,High  Mobility  Organic Single  Crystals  for  n- Channel Field-Effect Transistors  ,High  Mobility  Organic Single  Crystals  for  n- Channel Field-Effect Transistors  ,,,,," Dr. Surya Prakash Singh, Prof.Dmitry Yu. Paraschuk",,,,,,,,,,,,,,,,,
,,nduction   of endoplasmic   reticulum stress as   a   change over switch  between autophagy and apoptosis in leukemic MOLT -3 and neuroblastoma IMR-32 cell lines  ,nduction   of endoplasmic   reticulum stress as   a   change over switch  between autophagy and apoptosis in leukemic MOLT -3 and neuroblastoma IMR-32 cell lines  ,,,,, Dr. P. Ekambaram                  Assistant Dr. Gennadii,,,,,,,,,,,,,,,,,
,,Programmable polyfunctional particles on the platform of the macrocyclic compounds and silicon dioxide with affinity functions toward biomacromolecules.  ,Programmable polyfunctional particles on the platform of the macrocyclic compounds and silicon dioxide with affinity functions toward biomacromolecules.  ,,,,, Dr. Ved Prakash SinghAssistant Dr. Ivan Stoikov,,,,,,,,,,,,,,,,,
,,Collision tectonics and seismicity in the Alpine- Himalayan belt: A comparative study between Great Caucasus (Russia) and Himalaya (India  ,Collision tectonics and seismicity in the Alpine- Himalayan belt: A comparative study between Great Caucasus (Russia) and Himalaya (India  ,,,,, Dr. Surendra Nadh Somala Prof. Rogozhin Eugene,,,,,,,,,,,,,,,,,
,,Carbon Nanotubes based detection of Terahertz radiation (THz) for medical and security imaging applications  ,Carbon Nanotubes based detection of Terahertz radiation (THz) for medical and security imaging applications  ,,,,, Prof. S. S. Islam Prof. V. S. Pavelyev,,,,,,,,,,,,,,,,,
,,Metallic   nanoparticles for   treatment   of antimicrobial    resistance pathogens    in freshwaters  ,Metallic   nanoparticles for   treatment   of antimicrobial    resistance pathogens    in freshwaters  ,,,,, Dr. R. ARTHUR JAMES Prof. VERA A. TEREKHOVA,,,,,,,,,,,,,,,,,
,,Intelligent Control of Multi Robot Systems based on Serial and Parallel Manipulatorsin Cyber Physical Framework  ,Intelligent Control of Multi Robot Systems based on Serial and Parallel Manipulatorsin Cyber Physical Framework  ,,,,, Prof. Laxmidhar Behera Prof. Larisa Rybak,,,,,,,,,,,,,,,,,
,,Integrative study of parasitic crustacean copepods from coral communities of the Northwest Indian Ocean  ,Integrative study of parasitic crustacean copepods from coral communities of the Northwest Indian Ocean  ,,,,, Dr. SUDHA KAPPALLI Associate Dr. VIATCHESLAV N. IVANENKO,,,,,,,,,,,,,,,,,
,,"Synthesis  and  biological evaluation  of  the quinoxaline-1,4-dioxide derivatives with antimalarial activity  ","Synthesis  and  biological evaluation  of  the quinoxaline-1,4-dioxide derivatives with antimalarial activity  ",,,,, Dr. Amit Sharma Prof. Dr. A.E. Shchekotikhin,,,,,,,,,,,,,,,,,
,,Deformation and Strength of Ultra High Performance Concretes Under Usual and Extreme Loading Conditions  ,Deformation and Strength of Ultra High Performance Concretes Under Usual and Extreme Loading Conditions  ,,,,, Dr. M. A. Iqbal Prof. Nikita F. Morozov,,,,,,,,,,,,,,,,,
,,Novel Aspects of Molecular Pathogenesis of Hereditary Breast Cancer  ,Novel Aspects of Molecular Pathogenesis of Hereditary Breast Cancer  ,,,,, Dr. Aklank Jain Prof. Evgeny N. Imyanitov,,,,,,,,,,,,,,,,,
,,New semi-synthetic antibiotic derivatives – synthesis and bio- evaluation of their biological activity  ,New semi-synthetic antibiotic derivatives – synthesis and bio- evaluation of their biological activity  ,,,,, Dr. Sidharth Chopra Dr. Anna Tevyashova,,,,,,,,,,,,,,,,,
,,River basin concept for water resources planning and water quality management for Shipra sub-basin of Ganga basin in Indiaand Aley sub-basin of Ob- Irtysh basin in Russia  ,River basin concept for water resources planning and water quality management for Shipra sub-basin of Ganga basin in Indiaand Aley sub-basin of Ob- Irtysh basin in Russia  ,,,,," Er. Ravi Galkate Dr Irina Rybkina,",,,,,,,,,,,,,,,,,
,,"Effects of charge ordering on magnetic, electric and microwave properties of strongly correlated multicomponent oxides with a mixed valance of iron ions  ","Effects of charge ordering on magnetic, electric and microwave properties of strongly correlated multicomponent oxides with a mixed valance of iron ions  ",,,,, Prof. Atul Thakur Prof. Larissa V. Panina,,,,,,,,,,,,,,,,,
